date,open,high,low,close,volume,RSI,SMA,upper,lower,EMA,MACD,signal,histogram
2024-09-28 11:00:00,2676.04,2677.37,2670.51,2675.4,676.3349,60.129,2641.0695,2748.3104,2533.8286,2671.3181,17.0741,15.0336,2.0405
2024-09-28 12:00:00,2675.4,2675.84,2655.35,2659.19,1668.9402,53.5315,2645.278,2748.3456,2542.2104,2668.8925,15.2079,15.0685,0.1394
2024-09-28 13:00:00,2659.21,2664.22,2652.57,2660.17,1006.2502,53.8611,2649.17,2748.2367,2550.1033,2667.148,13.6506,14.7849,-1.1343
2024-09-28 14:00:00,2660.17,2676.44,2660.17,2674.01,1027.7512,58.3538,2654.3555,2747.016,2561.695,2668.5204,13.379,14.5037,-1.1247
2024-09-28 15:00:00,2674.01,2674.24,2667.66,2670.43,635.1882,56.8127,2658.8645,2745.2242,2572.5048,2668.9023,12.7281,14.1486,-1.4205
2024-09-28 16:00:00,2670.43,2672.46,2662.38,2665.5,1017.8584,54.6716,2663.0995,2741.6886,2584.5104,2668.2218,11.6799,13.6548,-1.975
2024-09-28 17:00:00,2665.35,2684.23,2663.36,2675.79,1311.2385,58.2117,2668.2945,2734.9028,2601.6862,2669.7355,11.5463,13.2331,-1.6868
2024-09-28 18:00:00,2675.8,2684.68,2675.2,2675.65,811.4959,58.1451,2673.1145,2725.7336,2620.4954,2670.9184,11.299,12.8463,-1.5474
2024-09-28 19:00:00,2675.65,2680.47,2675.13,2678.69,544.4853,59.2347,2678.503,2702.3798,2654.6262,2672.4727,11.2189,12.5208,-1.3019
2024-09-28 20:00:00,2678.63,2680.29,2673.7,2675.82,476.8453,57.7073,2677.434,2699.7287,2655.1393,2673.1422,10.7994,12.1765,-1.3772
2024-09-28 21:00:00,2675.87,2677.34,2655.99,2671.34,966.8606,55.3099,2676.0925,2696.3727,2655.8123,2672.7817,9.9902,11.7393,-1.749
2024-09-28 22:00:00,2671.2,2681.19,2664.89,2675.27,1164.0652,56.9977,2674.8065,2691.5645,2658.0485,2673.2794,9.5559,11.3026,-1.7467
2024-09-28 23:00:00,2675.3,2680.84,2669.45,2675.79,1375.4301,57.2278,2674.046,2689.0881,2659.0039,2673.7815,9.1483,10.8717,-1.7235
2024-09-29 00:00:00,2675.88,2682.96,2663.87,2668.69,675.8199,53.0523,2672.817,2685.1478,2660.4862,2672.7632,8.1582,10.329,-2.1708
2024-09-30 00:00:00,2657.9,2663.97,2625.63,2648.71,3937.5718,43.4458,2671.07,2686.3212,2655.8188,2667.9526,5.6958,9.4024,-3.7066
2024-09-30 01:00:00,2648.6,2655.87,2613.69,2615.05,3976.3048,32.7023,2667.832,2696.1698,2639.4942,2657.3721,1.0164,7.7252,-6.7088
2024-09-30 02:00:00,2614.73,2622.25,2601.03,2613.6,3151.0153,32.3314,2664.592,2701.019,2628.165,2648.6176,-2.777,5.6248,-8.4017
2024-09-30 03:00:00,2613.24,2631.04,2605.39,2629.99,2755.9997,40.5405,2662.7575,2702.1536,2623.3614,2644.8921,-4.4099,3.6178,-8.0277
2024-09-30 04:00:00,2629.98,2630.91,2622.88,2628.73,1278.0289,40.1374,2660.691,2702.5942,2618.7878,2641.6597,-5.7395,1.7464,-7.4859
2024-09-30 05:00:00,2628.73,2637.65,2626.5,2636.43,1070.2361,43.8143,2658.7125,2701.2691,2616.1559,2640.6138,-6.1016,0.1768,-6.2784
2024-09-30 06:00:00,2636.64,2644.01,2629.35,2629.66,730.7834,41.4062,2656.4255,2700.0519,2612.7991,2638.423,-6.8558,-1.2297,-5.626
2024-09-30 07:00:00,2629.78,2643.21,2629.72,2637.84,840.9263,45.3169,2655.358,2699.7005,2611.0155,2638.3064,-6.716,-2.327,-4.389
2024-09-30 08:00:00,2637.86,2643.07,2625.94,2640.8,2753.3971,46.7031,2654.3895,2699.1138,2609.6652,2638.8051,-6.2938,-3.1204,-3.1735
2024-09-30 09:00:00,2640.66,2642.26,2606.56,2607.18,3033.568,35.6492,2651.048,2699.2596,2602.8364,2632.4801,-8.5733,-4.2109,-4.3623
2024-09-30 10:00:00,2607.18,2614.76,2591.83,2605.39,4685.5005,35.1719,2647.796,2699.0195,2596.5725,2627.0621,-10.4043,-5.4496,-4.9547
2024-09-30 11:00:00,2605.4,2632.75,2601.41,2628.87,3527.2798,45.4833,2645.9645,2697.1444,2594.7846,2627.4237,-9.8472,-6.3291,-3.5181
2024-09-30 12:00:00,2629.0,2635.85,2626.32,2633.59,1524.7914,47.298,2643.8545,2693.3953,2594.3137,2628.6569,-8.922,-6.8477,-2.0743
2024-09-30 13:00:00,2633.62,2638.57,2622.1,2624.49,3045.7245,44.2404,2641.2965,2689.2644,2593.3286,2627.8235,-8.8214,-7.2424,-1.5789
2024-09-30 14:00:00,2624.56,2628.25,2606.6,2611.02,6532.542,40.1073,2637.913,2684.376,2591.45,2624.4628,-9.7165,-7.7373,-1.9793
2024-09-30 15:00:00,2610.96,2623.13,2593.12,2596.05,3193.6792,36.0737,2633.9245,2680.3819,2587.4671,2618.7803,-11.5013,-8.4901,-3.0113
2024-09-30 16:00:00,2595.56,2609.72,2589.51,2603.24,3299.9409,39.2346,2630.5195,2675.4666,2585.5724,2615.6722,-12.1951,-9.2311,-2.964
2024-09-30 17:00:00,2603.41,2608.87,2590.68,2608.18,2784.5689,41.3793,2627.165,2668.0859,2586.2441,2614.1738,-12.2055,-9.826,-2.3796
2024-09-30 18:00:00,2608.29,2608.96,2573.89,2587.97,5780.1825,35.8107,2622.774,2660.6127,2584.9353,2608.933,-13.6868,-10.5981,-3.0887
