date,open,high,low,close,volume
2024-09-18 10:00:00,2295.36,2308.63,2277.05,2305.08,4030.8944
2024-09-18 11:00:00,2304.82,2309.88,2299.5,2299.72,968.239
2024-09-18 12:00:00,2300.57,2313.92,2295.06,2310.64,2670.1039
2024-09-18 13:00:00,2310.36,2318.18,2286.9,2294.83,3054.1013
2024-09-18 14:00:00,2294.4,2306.45,2288.05,2298.96,3139.8391
2024-09-18 15:00:00,2298.91,2311.49,2288.81,2296.13,4129.2233
2024-09-18 16:00:00,2295.78,2308.12,2287.7,2304.18,2603.9069
2024-09-18 17:00:00,2304.21,2318.16,2290.46,2308.94,4163.2873
2024-09-18 18:00:00,2308.94,2364.56,2301.77,2335.87,28459.4929
2024-09-18 19:00:00,2335.31,2339.52,2309.83,2314.96,10110.3319
2024-09-18 20:00:00,2315.05,2328.45,2289.63,2325.77,4268.7009
2024-09-18 21:00:00,2325.81,2342.75,2324.74,2331.67,3220.7595
2024-09-18 22:00:00,2331.35,2345.76,2331.35,2340.25,1960.1238
2024-09-18 23:00:00,2340.76,2376.26,2340.17,2374.59,3775.2392
2024-09-19 00:00:00,2374.78,2410,2372.73,2399.04,8486.807
2024-09-19 01:00:00,2399.1,2402.07,2374.81,2391.38,5658.8427
2024-09-19 02:00:00,2391.57,2402.04,2384.68,2401.08,2056.7308
2024-09-19 02:00:00,2391.57,2402.04,2384.68,2401.08,2056.7308
2024-09-19 03:00:00,2400.95,2413.59,2397.93,2404.49,3952.757
2024-09-19 04:00:00,2404.5,2419,2400.09,2417.04,2350.8857
2024-09-19 05:00:00,2417.05,2423.15,2407.35,2412.57,1646.8281
2024-09-19 06:00:00,2412.7,2421.33,2405.23,2417.9,1860.1888
2024-09-19 07:00:00,2417.79,2443.11,2414.77,2438.52,4748.5267
2024-09-19 08:00:00,2438.27,2442.86,2430.39,2431.63,2138.7756
2024-09-19 09:00:00,2431.87,2441.98,2429.12,2431.09,2327.3618
2024-09-19 10:00:00,2431.24,2439.37,2425.81,2426.18,1950.5803
2024-09-19 11:00:00,2426.17,2438.11,2423.76,2435.66,1980.4866
2024-09-19 12:00:00,2435.66,2453.43,2427.85,2436.27,6558.8329
2024-09-19 13:00:00,2436,2450.86,2421.22,2432.83,7246.5804
2024-09-19 14:00:00,2433.25,2441.59,2422.24,2426.1,6678.5635
2024-09-19 15:00:00,2426.47,2441.53,2421.91,2440.32,3863.1612
2024-09-19 16:00:00,2440.17,2483.96,2433.62,2473.17,11579.5278
2024-09-19 17:00:00,2472.39,2480.8,2456.16,2476.63,6842.8285
2024-09-19 18:00:00,2476.6,2495.27,2471.71,2476.74,8045.1546
2024-09-19 19:00:00,2476.18,2476.86,2460.14,2461.37,5759.6941
2024-09-19 20:00:00,2461.13,2471.24,2457.18,2465.62,5366.4751
2024-09-19 21:00:00,2465.66,2471.99,2460.51,2462.31,3362.4855
